,name,archetype,position,overall,outside_scoring,athleticism,inside_scoring,playmaking,defending,rebounding,intangibles,potential,total_attributes,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,speed,acceleration,strength,vertical,stamina,hustle,overall_durability,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,interior_defense,perimeter_defense,steal,block,lateral_quickness,help_defense_iq,pass_perception,defensive_consistency,offensive_rebound,defensive_rebound,weight,height
221,Keyon Dooling,Shooter,PG,73,76,70,50,73,56,42,65,74,"2,388",75,77,79,86,70,70,70,70,46,65,85,75,82,79,30,30,30,45,43,69,75,74,79,65,75,73,45,60,47,30,70,70,67,60,38,45,NaN,191
222,Tony Wroten,Interior Finisher,SG,71,73,76,57,74,55,45,50,77,"2,452",75,69,70,72,84,70,78,78,59,78,85,75,78,77,30,80,35,38,39,72,85,75,80,77,75,62,46,69,61,55,69,46,48,45,40,50,NaN,198
223,Dominique Wilkins,2-Way Finisher,SF,92,87,90,82,72,77,69,98,94,"3,111",91,82,70,81,98,98,86,79,77,98,96,98,94,96,96,98,33,80,72,86,98,60,75,79,90,55,66,85,69,47,85,84,85,95,68,69,90,201
224,Doc Rivers,2-Way Pass-First Point,PG,83,70,80,58,87,75,43,98,84,"2,751",70,65,57,60,80,90,84,84,60,75,90,85,79,75,25,60,25,55,66,79,80,92,80,80,93,92,60,84,91,37,86,82,82,80,42,44,83,193
225,Kevin Willis,Glass Cleaner,PF,79,60,72,71,30,62,85,98,85,"2,432",70,50,47,65,70,60,36,78,78,75,75,69,90,49,90,48,88,78,84,69,65,30,38,25,28,27,72,49,61,51,38,80,77,70,84,85,99,213
226,Johnny Davis,Position: SG,"Height: 6&apos2"" (188cm)",79,10,--,7,--,--,--,--,--,115,--,--,60,--,--,--,--,--,--,--,--,--,--,--,--,55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
227,Tree Rollins,Glass-Cleaning Lockdown,C,78,55,63,57,30,68,85,80,78,"2,242",73,35,25,76,48,70,52,52,84,38,72,65,79,30,86,42,69,25,69,49,85,35,26,29,31,28,89,27,58,86,27,90,74,90,84,86,106,216
228,Spud Webb,Slashing Playmaker,PG,78,70,80,56,86,49,41,74,78,"2,483",78,76,60,78,60,65,90,90,25,98,92,84,83,86,25,94,25,36,25,85,70,85,82,90,88,85,25,48,87,30,68,48,48,40,36,46,60,170
229,Randy Wittman,Mid-Range Specialist,SG,77,80,71,52,70,65,36,98,77,"2,508",84,88,75,77,75,80,69,65,58,70,80,74,81,75,25,50,25,51,36,79,74,74,72,66,77,62,50,75,61,32,75,78,74,75,35,36,95,198
230,Cliff Levingston,Glass Cleaner,PF,76,67,72,67,37,57,78,98,83,"2,421",79,67,38,67,82,70,55,54,66,70,84,88,84,57,76,62,71,69,72,71,60,44,46,25,42,30,72,45,64,51,45,64,54,60,77,79,95,203
231,Jon Koncak,Glass-Cleaning Lockdown,C,76,61,57,58,31,64,80,90,76,"2,225",79,49,49,60,54,75,25,25,73,41,66,80,90,28,70,44,79,25,75,75,66,39,30,25,34,29,85,30,58,63,30,86,78,85,79,80,113,213
232,Antoine Carr,Paint Defender,PF,69,58,61,68,42,55,62,80,84,"2,246",70,70,30,66,55,55,48,36,68,60,71,62,79,52,90,65,55,65,75,68,75,44,45,39,45,35,62,42,60,73,42,60,52,45,59,64,101,206
233,Scott Hastings,Paint Defender,PF,68,68,50,54,36,55,61,80,68,"2,079",71,60,61,85,65,65,25,25,63,30,65,65,80,45,55,40,50,63,60,68,52,44,35,25,45,30,75,25,58,42,25,77,65,70,62,60,106,208
234,Alonzo Mourning,Versatile Paint Beast,C,93,82,83,90,42,85,94,30,97,"2,989",90,82,62,64,96,95,67,62,96,82,98,95,80,80,98,70,98,92,94,96,92,33,50,32,64,29,95,64,74,97,64,98,90,95,92,96,110,208
235,Tim Hardaway,2-Way Threat,PG,88,85,83,52,91,71,43,70,94,"2,782",86,85,80,80,90,90,88,88,70,69,95,86,85,92,25,25,25,55,33,70,92,93,95,88,94,84,40,84,86,30,90,75,84,80,40,46,79,183
236,P.J. Brown,Glass-Cleaning Lockdown,C,85,63,71,69,39,75,91,60,84,"2,543",77,75,26,73,75,50,64,40,80,74,87,75,76,69,95,79,65,52,66,70,58,40,35,25,64,31,90,58,58,75,58,92,75,90,93,89,108,216
237,Jamal Mashburn,Multi-Position Defender,SF,80,78,81,70,64,70,63,70,89,"2,760",80,82,75,75,80,75,79,79,79,72,95,90,72,77,65,75,55,56,70,72,92,64,70,73,65,48,70,76,65,42,79,78,75,75,62,64,108,203
238,Dan Majerle,2-Way Sharpshooter,SG,80,77,80,60,60,77,45,70,82,"2,666",75,85,85,68,90,60,74,67,75,75,95,92,85,74,50,76,35,56,50,54,88,55,70,72,54,50,70,88,75,35,89,84,88,85,50,40,97,198
239,Willie Anderson,Position: SG,"Height: 6&apos7"" (201cm)",79,11,--,9,--,--,--,--,--,138,--,--,63,--,--,--,--,--,--,--,--,--,--,--,--,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
240,Isaac Austin,2-Way Inside-the-Arc Scorer,PF,78,74,67,68,49,70,78,75,78,"2,569",86,83,50,66,82,75,63,62,88,50,70,55,82,62,60,50,82,82,80,55,70,55,40,25,52,72,80,52,73,82,52,79,70,75,74,82,115,208
241,Gary Grant,Prospect,PG,77,68,78,47,66,46,39,98,82,"2,287",68,68,71,77,64,60,74,84,50,98,91,77,75,60,25,45,36,44,25,58,80,64,71,73,60,61,27,54,52,35,62,50,45,45,35,43,NaN,191
242,Ed Pinckney,Position: PF,"Height: 6&apos9"" (206cm)",77,5,--,10,--,--,--,--,--,110,--,--,27,--,--,--,--,--,--,--,--,--,--,--,--,83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
243,Keith Askins,3PT Specialist,SF,74,71,71,61,62,67,50,70,87,"2,509",72,70,85,67,60,70,68,62,50,72,83,75,87,70,60,65,40,58,63,48,84,70,70,57,71,41,55,77,69,56,81,70,56,70,46,54,88,201
244,John Crotty,3PT Specialist,PG,72,76,68,38,75,58,38,71,75,"2,294",72,74,85,84,75,65,73,73,36,57,85,70,80,60,25,25,25,29,25,41,73,79,77,72,77,72,25,70,62,32,81,74,60,60,34,41,79,191
245,Bruce Bowen,Perimeter Lockdown,SF,71,63,74,54,58,63,51,60,80,"2,363",67,66,82,74,58,30,73,73,67,74,80,75,77,70,35,70,42,53,52,40,70,58,70,69,59,35,35,80,61,62,84,70,60,50,51,51,99,203
246,Matt Fish,Paint Defender,C,68,50,63,49,33,48,62,98,75,"1,973",61,51,25,62,65,35,38,36,82,58,65,90,70,48,40,25,54,57,64,38,66,33,25,28,38,39,73,28,28,49,28,68,60,50,61,62,NaN,211
247,Dwyane Wade,2-Way Playshot,PG,96,90,91,80,92,84,60,90,96,"3,243",95,89,79,78,98,98,97,98,79,85,98,98,80,95,35,95,66,79,72,97,98,95,89,96,90,88,67,94,79,59,94,90,92,95,59,61,95,193
248,Shaquille O’Neal,Paint Beast,C,90,64,70,81,53,75,84,98,98,"2,750",89,35,26,46,98,90,36,40,99,75,80,80,80,58,95,75,92,50,90,91,98,66,58,29,66,47,95,43,55,82,43,93,92,95,78,89,146,216
249,Jason Williams,2-Way 3PT Playmaker,PG,79,68,69,45,86,61,36,98,84,"2,424",69,71,76,79,65,50,79,79,27,60,88,73,79,77,25,25,25,40,26,50,93,92,95,79,92,72,32,81,61,30,88,72,60,60,27,45,86,185
250,Antoine Walker,2-Way 3-Level Scorer,SF,79,79,68,63,58,66,60,98,79,"2,562",85,77,81,62,98,70,58,57,65,60,80,70,85,75,30,55,52,78,70,53,93,54,75,59,51,49,65,80,58,50,84,67,60,60,53,66,101,203
251,Gary Payton,2-Way Interior Finisher,PG,76,75,69,54,77,68,42,70,94,"2,546",82,73,75,79,82,60,73,72,40,60,78,70,90,82,25,25,45,58,65,53,82,82,82,77,80,64,50,85,62,32,90,75,81,70,34,49,81,193
252,Alonzo Mourning,Inside the Arc Glass Cleaner,C,76,63,58,72,43,63,78,60,92,"2,387",84,82,47,59,65,40,30,30,63,54,75,75,80,63,75,61,71,81,75,78,70,49,49,27,65,26,73,37,50,94,37,80,64,70,79,77,108,208
253,Udonis Haslem,Inside the Arc Scorer,PF,76,68,63,73,40,53,72,80,76,"2,353",77,82,25,78,81,65,56,31,80,57,81,61,76,61,60,64,80,88,82,65,85,32,40,30,65,31,74,39,58,37,39,60,63,50,65,79,104,203
254,James Posey,Shooter,SF,75,73,76,56,62,71,52,50,80,"2,523",75,78,85,81,78,40,74,73,70,80,85,70,77,74,40,65,47,55,48,40,80,62,73,66,61,48,68,75,67,57,85,75,68,70,57,46,97,203
255,Michael Doleac,Mid-Range Specialist,C,71,65,61,57,36,51,70,80,71,"2,146",77,90,27,80,60,55,42,40,69,44,79,70,83,44,60,50,62,60,66,40,70,38,44,25,37,35,77,35,41,52,35,76,42,50,70,70,118,211
256,Shandon Anderson,Mid-Range Specialist,SF,71,78,71,59,45,58,47,70,71,"2,362",83,86,73,72,85,70,65,65,55,65,85,77,86,72,55,66,44,61,62,38,70,33,64,62,33,33,60,62,61,42,66,61,60,55,42,52,94,198
257,Derek Anderson,3PT Shooter,SG,69,71,69,44,61,53,38,90,85,"2,239",59,63,78,84,81,60,66,61,50,60,82,77,85,54,25,35,36,39,25,58,79,55,70,64,57,61,30,68,55,27,60,70,45,70,37,38,NaN,196
258,Dorell Wright,Perimeter Defender,SF,68,67,69,51,54,55,61,50,74,"2,248",73,61,70,88,60,50,56,51,60,79,81,77,77,66,30,70,44,41,42,55,61,52,58,55,55,51,46,69,49,41,61,55,59,60,59,62,NaN,206
259,LeBron James,All-Around Threat,SF,99,89,93,86,87,85,66,98,99,"3,307",89,87,88,75,98,98,91,91,89,88,98,95,97,97,70,89,78,84,89,79,98,88,84,89,90,82,78,95,73,58,95,93,90,95,50,82,113,203
260,Dwyane Wade,2-Way Slashing Combo Guard,SG,92,85,85,74,87,82,57,98,96,"3,093",89,81,72,72,98,98,87,85,74,82,98,98,74,95,35,60,72,79,72,79,98,89,89,89,89,77,69,91,85,58,89,89,88,85,55,59,95,193
261,Chris Bosh,2-Way 3-Level Scorer,C,87,87,74,79,48,71,81,60,91,"2,784",90,95,79,79,86,90,65,56,67,72,95,75,87,80,60,69,80,87,88,71,95,46,58,42,60,36,80,60,61,73,56,78,76,80,80,81,106,211
262,Ray Allen,3-Level Scorer,SG,78,84,71,61,59,61,44,90,95,"2,547",79,78,89,88,90,80,66,64,54,72,85,78,81,80,25,66,44,55,60,62,94,51,74,59,70,40,46,73,63,40,76,70,63,60,37,50,92,196
263,Shane Battier,2-Way Stretch Four,PF,77,80,69,55,54,75,42,60,80,"2,496",77,77,89,84,90,65,55,51,68,52,82,94,79,65,25,54,65,61,54,36,82,52,58,49,66,45,83,67,59,65,67,89,82,85,38,46,99,203
264,Mike Miller,Shooter,SG,76,81,78,55,71,55,54,60,83,"2,518",64,77,89,80,94,80,78,75,65,70,90,85,82,80,25,45,36,58,43,62,94,70,77,70,74,63,50,66,59,35,69,58,45,60,37,70,NaN,203
265,Mario Chalmers,2-Way Mid-Range Specialist,PG,76,75,74,47,76,71,43,70,76,"2,525",75,87,70,85,90,40,76,76,43,72,85,85,82,66,25,51,28,38,31,69,70,79,77,76,77,70,42,90,86,47,80,76,80,70,30,55,NaN,188
266,Rashard Lewis,Stretch Four,PF,74,76,61,62,45,59,52,90,86,"2,357",80,77,84,62,84,70,48,45,55,62,75,65,79,64,40,70,68,73,51,52,80,43,63,47,42,31,69,47,61,53,47,64,62,65,40,63,97,208
267,Chris Andersen,Defensive Anchor,C,74,45,73,64,45,65,84,70,74,"2,344",50,42,25,55,53,45,55,55,70,85,82,84,80,69,70,80,53,54,52,51,79,50,53,47,45,32,74,45,49,86,68,75,60,60,86,81,NaN,208
268,Udonis Haslem,Defensive Anchor,PF,73,58,66,57,37,57,77,98,75,"2,223",74,76,25,71,64,35,56,29,73,60,78,90,76,52,55,61,62,68,60,40,54,29,35,27,64,28,80,37,58,47,37,70,66,60,67,86,104,203
269,Juwan Howard,Mid-Range Shooter,PF,72,70,61,68,53,54,61,80,83,"2,363",80,81,40,78,90,50,30,36,75,68,70,70,75,70,60,60,70,70,70,50,90,69,56,27,69,42,70,44,48,59,34,58,59,60,60,62,NaN,206
270,Alonzo Mourning,Glass-Cleaning Lockdown,C,85,73,69,78,35,73,77,70,93,"2,619",80,65,50,78,80,85,42,36,90,65,85,85,80,55,98,58,82,70,85,87,85,33,50,32,32,29,92,41,50,87,41,94,90,90,76,78,110,208
271,Larry Johnson,Interior Force,PF,85,83,85,80,71,68,69,83,89,"2,937",86,82,74,76,90,90,80,80,88,85,95,77,88,75,87,77,66,85,90,70,90,74,71,74,75,62,82,57,56,37,57,81,80,90,68,70,116,201
272,Muggsy Bogues,Playmaker,PG,82,75,83,44,90,55,41,77,82,"2,511",70,77,70,83,85,65,93,93,25,95,92,90,90,77,25,25,25,40,25,53,82,95,92,93,92,77,25,66,79,27,79,60,45,60,35,47,65,160
273,Dell Curry,Sharpshooter,SG,80,87,77,48,75,56,46,98,84,"2,543",83,90,88,86,85,90,79,79,79,60,85,75,79,74,25,55,25,51,25,61,70,78,75,79,75,69,33,58,65,40,62,64,58,70,38,53,95,196
274,Kendall Gill,Finisher,SG,80,81,76,69,65,66,50,98,84,"2,702",86,84,71,77,85,85,73,67,69,85,85,75,78,82,65,90,36,74,48,70,84,64,72,63,66,62,56,72,64,45,75,72,65,75,52,48,90,196
275,Johnny Newman,Inside the Arc Scorer,SF,79,80,71,67,67,59,45,98,79,"2,581",86,84,72,81,69,85,73,73,50,66,81,72,84,85,65,75,30,60,60,86,75,74,76,66,74,43,56,60,61,42,74,61,56,60,52,37,89,201
276,Kenny Gattison,Finisher,PF,78,66,63,79,34,62,74,80,77,"2,439",85,69,38,60,65,80,39,36,85,50,66,90,78,80,84,80,75,75,75,84,75,40,35,25,40,31,74,42,62,61,42,69,74,70,70,78,115,203
277,Mike Gminski,Glass Cleaner,C,74,71,64,62,40,56,76,80,88,"2,334",81,72,50,90,81,50,31,30,84,39,95,80,90,44,50,65,72,74,72,65,52,43,40,25,49,44,75,25,40,59,39,77,51,80,75,77,NaN,211
278,Sidney Green,Glass Cleaner,PF,73,60,58,62,34,50,87,98,77,"2,181",58,44,30,80,98,50,32,29,66,68,66,66,79,44,77,54,60,60,56,71,75,36,30,25,40,39,69,37,57,47,37,58,44,50,85,89,99,206
279,David Wingate,Pass-First Guard,SG,71,70,71,52,65,65,45,98,72,"2,439",73,75,55,73,75,70,66,61,55,68,85,86,76,71,50,59,25,40,33,60,75,72,67,53,71,63,65,73,67,32,76,70,70,70,43,46,86,196
280,Tony Bennett,3PT Playmaker,PG,68,70,66,41,74,50,37,67,70,"2,184",70,70,80,73,60,65,74,74,25,42,80,86,79,60,25,25,25,40,25,48,76,75,75,73,79,70,25,58,63,25,74,55,45,55,33,40,81,183
281,Kevin Lynch,Ball Hawk,SG,65,66,63,47,54,56,45,63,70,"2,148",73,66,65,68,60,65,56,52,40,55,75,80,80,64,25,47,25,51,25,70,70,54,68,58,50,39,33,60,62,51,64,60,55,60,46,43,89,196
282,Alonzo Mourning,2-Way Inside-the-Arc Scorer,C,89,82,82,84,41,80,86,25,89,"2,869",88,77,62,78,96,90,65,60,96,82,98,95,80,80,85,70,84,84,91,84,92,33,50,30,64,29,90,62,74,97,62,92,78,85,84,88,110,208
283,Karl Malone,2-Way Inside-the-Arc Scorer,PF,97,86,86,90,68,75,91,90,97,"3,138",98,83,60,76,98,98,81,81,95,50,98,98,99,90,75,75,95,96,98,93,95,68,60,75,66,70,95,49,63,70,39,94,90,98,92,90,113,206
284,John Stockton,2-Way Playshot,PG,94,86,80,52,94,71,47,98,97,"2,815",74,82,87,82,98,95,86,86,39,55,98,98,98,84,25,25,38,39,25,79,98,99,88,86,99,97,40,94,77,35,96,80,54,90,49,45,77,185
285,Jeff Hornacek,2-Way Diming Sharpshooter,SG,82,91,81,51,78,70,49,98,86,"2,750",80,90,92,88,98,95,71,71,65,76,98,98,88,71,25,25,25,51,25,84,98,79,73,69,85,85,36,78,75,49,76,80,84,85,49,49,86,191
286,Adam Keefe,Glass Cleaner,SF,77,65,72,68,56,67,76,98,76,"2,582",78,70,32,81,61,70,59,59,69,65,80,92,80,55,65,65,69,69,69,74,78,64,62,52,68,32,74,70,61,47,65,74,72,75,78,74,104,206
287,Bryon Russell,2-Way Shooter,SF,76,74,74,57,60,69,41,70,80,"2,503",80,87,80,77,77,45,74,71,67,65,84,70,88,74,50,62,30,63,44,48,82,55,72,65,57,49,55,80,61,40,85,82,72,80,35,47,103,203
288,Howard Eisley,Diming 3-Level Scorer,PG,76,82,73,45,81,50,41,85,76,"2,408",79,77,80,85,95,75,79,79,45,66,86,75,84,79,25,25,25,29,25,75,75,82,79,79,84,79,29,57,73,40,73,52,30,45,34,48,80,188
289,Shandon Anderson,Inside the Arc Scorer,SF,75,74,77,57,62,62,55,80,82,"2,510",82,84,66,73,62,75,68,63,63,78,80,98,91,79,25,79,30,60,30,70,80,64,66,66,76,38,58,60,69,45,68,67,60,65,60,50,94,198
290,Chris Morris,Prospect,SF,72,73,67,58,51,53,41,98,88,"2,311",68,71,74,72,90,60,62,62,69,63,77,60,78,66,55,60,49,50,62,40,79,52,65,55,51,30,52,63,40,40,56,69,63,40,32,50,NaN,203
291,Jacque Vaughn,3PT Shooter,PG,70,70,76,41,78,48,35,60,80,"2,269",62,74,80,72,67,65,81,81,48,76,85,84,80,70,25,25,25,29,25,50,80,74,80,80,76,79,32,60,42,40,70,55,42,45,29,41,NaN,185
292,Greg Ostertag,Defensive Anchor,C,70,51,57,55,29,54,85,98,75,"2,063",48,35,25,47,98,55,25,25,90,25,90,60,81,25,90,40,65,30,40,68,80,34,27,25,33,27,76,25,59,94,25,60,44,50,89,80,126,218
293,Antoine Carr,Paint Protector,PF,69,67,54,62,38,60,49,80,85,"2,208",80,72,32,77,74,65,36,26,75,50,69,45,80,46,75,40,58,66,68,66,77,45,46,25,40,33,70,36,50,76,36,73,73,65,50,48,101,206
294,Greg Foster,Paint Protector,PF,69,67,52,56,39,55,69,98,69,"2,148",66,50,48,77,89,70,31,25,70,30,60,65,82,48,71,40,44,63,62,54,62,45,45,25,48,31,68,28,55,55,28,68,70,70,63,75,108,211
295,Peja Stojakovic,2-Way Sharpshooter,SF,87,91,75,60,68,67,55,98,89,"2,722",80,94,96,88,90,95,67,67,54,68,95,80,94,75,25,60,58,60,58,50,94,81,74,60,84,39,47,79,59,51,79,75,74,75,48,62,99,206
296,Vlade Divac,2-Way Inside-the-Arc Maestro,C,87,82,67,79,58,66,89,70,89,"2,754",94,79,69,62,90,98,41,37,84,51,90,75,90,75,85,55,87,80,89,79,85,72,30,25,83,82,80,42,71,80,42,80,70,65,88,90,109,216
297,Mike Bibby,Playmaking Shot Creator,PG,83,83,76,55,83,63,45,60,88,"2,625",75,90,81,80,85,85,88,88,38,72,85,74,84,90,25,45,25,60,39,72,86,88,85,88,85,70,32,71,60,43,84,74,70,70,46,44,86,185
298,Doug Christie,2-Way Shooter,SG,83,83,77,58,75,81,47,70,83,"2,767",74,92,77,85,98,70,74,72,50,70,98,98,77,78,47,75,25,55,33,64,90,75,79,75,75,71,55,92,84,52,91,92,88,90,40,53,90,198
299,Bobby Jackson,Playmaking Shot Creator,PG,80,81,76,45,81,51,47,90,80,"2,451",79,83,80,81,80,80,91,91,43,77,85,63,81,80,25,25,27,40,28,64,72,84,84,91,85,62,25,62,63,32,73,60,51,40,38,56,83,185
300,Scot Pollard,2-Way Mid-Range Specialist,C,78,64,57,61,41,63,85,98,78,"2,325",85,84,25,69,78,45,44,25,62,35,80,87,65,51,65,45,70,53,64,77,66,46,35,25,46,52,81,37,69,60,37,79,72,65,86,84,124,211
301,Hedo Turkoglu,3PT Shooter,SF,76,72,75,62,68,56,73,80,78,"2,541",64,65,77,76,85,65,67,67,70,70,90,80,82,70,60,65,50,58,50,55,85,65,64,62,70,80,60,60,60,65,52,57,42,50,75,70,99,208
302,Lawrence Funderburke,Paint Protector,PF,75,61,74,65,47,56,75,98,76,"2,417",82,51,25,61,78,70,62,60,73,72,91,92,70,61,90,60,64,65,64,51,68,44,44,61,46,38,74,38,43,51,41,65,69,70,72,77,NaN,206
303,Gerald Wallace,Hybrid Defender,SF,75,48,81,63,66,79,74,40,75,"2,582",48,67,30,50,55,35,87,85,60,88,97,75,73,75,35,85,64,69,50,38,89,68,78,67,70,48,85,80,82,62,88,80,82,75,79,68,97,201
304,Chucky Brown,Paint Protector,PF,70,64,64,53,37,55,73,90,70,"2,179",82,75,54,50,75,45,25,25,76,57,79,93,92,39,70,45,61,33,59,51,62,31,35,25,64,28,71,33,56,80,33,75,45,50,70,75,110,206
305,Walt Frazier,2-Way Slashing Playmaker,PG,93,85,85,60,84,81,51,80,95,"2,929",86,80,74,82,92,95,85,85,72,79,96,85,92,92,25,61,25,55,48,79,95,81,87,85,85,80,57,96,96,31,97,95,84,95,41,61,90,193
306,Jerry Lucas,Glass-Cleaning Lockdown,PF,86,83,70,71,63,68,91,98,93,"2,787",79,75,80,79,90,95,45,42,85,45,98,98,80,55,58,50,84,85,85,69,80,75,55,36,74,73,79,49,50,64,45,90,77,90,90,92,104,203
307,Willis Reed,Glass-Cleaning Lockdown,C,84,76,66,71,49,73,80,92,93,"2,652",81,80,40,74,90,90,48,48,75,60,82,70,77,50,92,60,60,70,88,69,80,50,51,38,55,49,82,48,55,90,48,85,82,90,80,80,106,206
308,Dave DeBusschere,Glass-Cleaning Lockdown,PF,83,79,72,62,64,79,81,70,90,"2,745",79,75,69,73,90,90,51,47,75,60,95,85,88,60,38,43,65,65,85,65,74,72,62,40,74,70,90,80,62,42,80,92,92,95,80,82,99,198
309,Bill Bradley,Shooter,SF,80,85,72,60,71,68,34,95,85,"2,640",87,86,80,85,85,85,58,61,64,65,88,85,86,64,30,52,66,60,60,74,75,75,76,52,75,78,65,78,60,31,82,74,65,85,31,37,92,196
310,Earl Monroe,Slashing Playmaker,PG,78,81,76,55,80,66,35,84,94,"2,633",84,77,70,82,85,85,79,79,55,70,94,77,80,93,25,48,36,44,33,77,85,78,85,79,80,79,30,74,68,30,84,75,80,85,32,38,83,191
311,Dick Barnett,Pass-First Guard,SG,78,79,74,59,75,66,49,98,87,"2,654",77,75,78,75,98,73,62,62,58,69,92,90,84,73,25,56,40,60,60,67,90,79,74,67,79,77,53,75,69,40,77,74,68,75,49,49,86,193
312,Phil Jackson,Paint Defender,PF,75,73,69,64,43,62,71,90,77,"2,450",79,72,59,73,77,75,62,62,70,55,75,71,85,76,65,65,59,40,60,79,70,47,41,44,40,45,68,45,62,62,45,70,68,75,62,80,99,203
313,Eddie Mast,Glass Cleaner,PF,69,49,62,62,39,48,78,90,77,"2,129",58,42,30,63,58,45,44,43,66,68,66,66,79,44,75,60,65,64,62,52,75,42,33,37,44,39,62,37,52,47,37,58,44,50,79,76,NaN,206
314,Luther Rackley,Glass Cleaner,C,67,45,56,50,37,53,81,98,67,"1,994",49,35,25,58,43,60,48,48,50,59,65,44,76,30,79,40,66,25,40,73,44,41,26,44,35,40,63,34,59,75,34,60,45,55,75,86,99,208
315,Patrick Ewing,2-Way Inside-the-Arc Scorer,C,91,83,62,86,53,73,80,80,95,"2,813",93,83,55,75,96,98,45,26,92,46,90,50,88,69,95,55,90,98,96,88,98,64,40,27,78,57,94,35,59,80,35,95,91,98,67,92,108,213
316,John Starks,3 & D Guard,SG,83,80,82,65,74,71,57,98,88,"2,811",77,72,86,73,98,75,74,74,60,82,98,98,88,80,45,77,44,63,50,79,80,74,75,72,79,72,39,88,63,27,87,88,84,90,55,59,81,191
317,Charles Oakley,Glass-Cleaning Lockdown,PF,81,76,74,61,49,67,79,98,87,"2,587",62,75,55,79,98,85,74,27,90,52,95,98,85,50,60,58,45,45,75,67,90,49,29,70,49,48,92,36,65,32,36,88,90,95,80,78,101,203
318,Derek Harper,Perimeter Lockdown,PG,79,73,72,53,78,72,37,40,85,"2,527",72,78,79,72,70,65,79,64,56,63,84,77,81,79,25,47,36,55,48,58,77,78,80,79,79,73,47,86,61,32,89,88,87,85,32,41,83,193
319,Charles Smith,Multi-Position Defender,PF,79,78,70,72,62,70,67,90,82,"2,711",84,82,62,79,78,80,72,45,69,73,88,66,78,83,80,75,63,63,64,79,69,64,70,68,71,38,72,72,65,72,67,74,70,70,65,69,104,208
320,Hubert Davis,Sharpshooter,SG,76,87,68,50,67,56,37,80,76,"2,407",81,85,93,80,95,85,65,51,52,69,83,80,77,65,44,59,25,51,25,58,70,69,69,60,75,60,40,64,58,37,67,62,58,65,36,38,82,196
321,Greg Anthony,Playmaker,PG,75,75,74,44,81,57,35,85,80,"2,415",75,74,80,78,67,75,77,76,44,75,84,84,80,76,25,25,25,29,25,64,80,84,84,80,84,73,32,64,81,40,78,60,42,60,29,41,79,183
322,Greg Kite,Position: C,"Height: 6&apos11"" (211cm)",73,5,--,9,--,--,--,--,--,101,--,--,31,--,--,--,--,--,--,--,--,--,--,--,--,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
323,Doug Christie,Perimeter Defender,SG,70,61,73,53,65,72,55,40,84,"2,433",70,65,72,80,50,30,74,72,50,70,83,86,77,75,47,70,25,55,33,40,75,67,68,72,62,58,55,78,60,50,85,84,82,80,47,62,90,198
324,Charlie Ward,Ball Hawk,PG,70,60,79,45,76,68,50,35,76,"2,416",70,72,73,71,45,30,85,85,50,91,90,76,78,74,25,30,30,35,30,44,95,75,75,85,77,70,34,70,95,51,90,70,70,65,49,50,86,188
325,Anthony Bonner,Paint Defender,PF,70,52,65,53,38,64,72,98,72,"2,206",58,50,46,65,45,50,50,48,67,70,70,74,78,50,82,55,40,48,40,53,56,44,34,26,44,41,79,49,69,55,49,67,70,70,81,63,97,203
326,Monty Williams,Rebounding Wing,SF,68,54,67,59,58,55,64,80,77,"2,282",68,66,48,44,50,49,56,56,55,66,80,76,79,72,50,67,40,60,50,61,75,60,63,51,57,60,60,51,67,40,61,55,55,50,71,56,101,203
327,Herb Williams,Paint Defender,C,67,54,54,50,35,62,55,50,80,"2,011",67,35,25,62,70,65,47,47,75,28,60,42,80,29,60,40,58,35,60,49,66,39,34,29,40,31,80,25,57,82,25,74,75,80,43,67,109,211
328,Patrick Ewing,2-Way Inside-the-Arc Scorer,C,85,77,61,84,53,67,78,60,98,"2,668",88,80,55,71,96,70,39,25,92,46,85,50,88,69,95,55,79,98,96,80,98,64,40,25,78,57,88,35,59,80,35,88,70,80,71,85,108,213
329,Latrell Sprewell,2-Way Point Forward,SF,85,85,84,76,80,75,57,90,85,"2,985",88,81,70,81,98,90,84,84,48,88,98,98,85,88,55,90,51,78,65,80,98,84,80,82,83,72,60,87,61,49,88,84,83,85,55,59,86,196
330,Allan Houston,Sharpshooting Shot Creator,SG,83,87,82,61,77,69,43,98,89,"2,786",80,84,87,86,98,85,85,84,54,72,95,88,93,75,35,45,45,82,64,52,86,79,83,80,82,62,64,75,65,52,77,75,75,70,41,44,90,198
331,Larry Johnson,2-Way 3-Level Scorer,PF,81,81,85,80,71,68,69,50,92,"2,894",82,79,80,82,90,70,78,78,88,85,95,85,88,75,87,77,66,85,90,70,90,74,71,72,75,62,82,57,56,37,57,81,80,90,68,70,116,201
